ENGAGEMENT,PHASE,CATEGORIE,CATEGORIE_SEXE,CLUB_NOM,CLUB_NUMERO,TYPE_EQUIPE,ENTENTE,ENTENTE_CONVENTION,CTC_NOM,CTC_NUMERO,EQUIPE_NUMERO,NIVEAU,ENGAGEMENT_CHAMPIONNAT,MONTANT_CHAMPIONNAT,ENGAGEMENT_COUPE,MONTANT_COUPE,ENGAGEMENT_CHALLENGE,MONTANT_CHALLENGE,MONTANT_TOTAL,ENTRAINEUR_NOM,ENTRAINEUR_PRENOM,ENTRAINEUR_LICENCE,ENTRAINEUR_EMAIL,PACTE_NOM,PACTE_PRENOM,COMMENTAIRE,VERIFIE,DATE_VERIFIE,STATUT_NIVEAU
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHALONNES SUR LOIRE BASKET,PDL0049031,Club,,,,,4,D2,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ELAN LIGÉRIEN BASKET,PDL0049115,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,GARENNES LOIRE BASKET CLUB 49,PDL0049126,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,POITEVINIERE LE PIN,PDL0049084,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,PDL0049170,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SPORTING CLUB BEAUCOUZE BASKET,PDL0049152,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ELAN LIGÉRIEN BASKET,PDL0049115,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,ESSJ GREZ NEUVILLE,PDL0049061,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHALONNES SUR LOIRE BASKET,PDL0049031,Club,,,,,2,D2,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,LA TESSOUALLE,PDL0049124,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,MAULEVRIER,PDL0049074,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,POITEVINIERE LE PIN,PDL0049084,Club,,,,,3,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,PUY SAINT BONNET BASKET,PDL0049093,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT ANDRE DE LA MARCHE BASKET,PDL0049170,Coopération Territoriale Club,,,CTC ANDREA MACAIROIS BASKET​,PDL0049135,1,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINT CHRISTOPHE DU BOIS - ESSOR CHRISTOPHORIEN BASKET,PDL0049097,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,-
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,SAINTE GEMMES SUR LOIRE,PDL0049143,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,=
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,VAL HYROME BASKET,PDL0049027,Club,,,,,1,D2,1,,,,,,,,,,,,,,,,+
U21 MASCULINS,JEUNES - Phase 1,U21 Masculins,M,CHALONNES SUR LOIRE BASKET,PDL0049031,Club,,,,,5,D2,1,,,,,,,,,,,,,,,,=
